player,x,y,cluster,team,position
Emi Buendía,5.223678,9.094499,1,Aston Villa,"MF,FW"
Emil Krafth,6.2259,6.5839505,1,Newcastle Utd,DF
Emile Smith Rowe,1.9645903,6.4700785,2,Fulham,MF
Emiliano Martínez,9.8573065,6.328666,0,Aston Villa,GK
Emmanuel Agbadou,4.995958,5.3352356,0,Wolves,DF
Enes Ünal,3.250546,9.12293,1,Bournemouth,"FW,MF"
Enzo Fernández,0.38053185,5.8070173,0,Chelsea,MF
Eric da Silva Moreira,7.516667,8.359944,1,Nott'ham Forest,"MF,DF"
Erling Haaland,0.6537784,8.694833,2,Manchester City,FW
Ethan Nwaneri,3.6517339,7.853205,2,Arsenal,"FW,MF"
Ethan Pinnock,3.3280826,4.634123,0,Brentford,DF
Evan Ferguson,6.7280016,9.680384,1,West Ham,FW
Evanilson,0.45877343,8.590393,2,Bournemouth,FW
Ezri Konsa,2.855152,3.841028,0,Aston Villa,DF
Fabian Schär,2.5293474,4.0517488,0,Newcastle Utd,DF
Fabio Carvalho,3.7613184,9.053393,1,Brentford,"FW,MF"
Facundo Buonanotte,1.4796784,6.7229753,2,Leicester City,"FW,MF"
Federico Chiesa,5.238751,9.076733,1,Liverpool,FW
Ferdi Kadioglu,5.159062,8.098835,1,Brighton,"DF,MF"
Filip Jørgensen,7.9159956,7.770553,1,Chelsea,GK
Flynn Downes,2.56073,4.778592,0,Southampton,MF
Frank Onyeka,6.9982867,7.4677486,1,Brentford,MF
Fraser Forster,7.8087935,6.5988836,1,Tottenham,GK
Gabriel Jesus,3.2721941,9.158065,1,Arsenal,FW
Gabriel Magalhães,3.0061362,3.8319464,0,Arsenal,DF
Gabriel Martinelli,0.18288948,7.981728,2,Arsenal,"FW,MF"
George Edmundson,7.139854,7.793747,1,Ipswich Town,DF
George Hirst,3.262492,9.083154,1,Ipswich Town,FW
Georginio Rutter,0.7234124,8.004258,2,Brighton,"MF,FW"
Gonçalo Guedes,3.9001942,8.470513,2,Wolves,"MF,FW"
Guglielmo Vicario,9.712211,6.4486628,1,Tottenham,GK
Guido Rodríguez,4.179646,5.8983173,1,West Ham,MF
Gustavo Nunes,7.9308887,8.957374,1,Brentford,"FW,MF"
Hamza Choudhury,6.060422,8.807034,1,Leicester City,"MF,DF"
Harrison Armstrong,6.707905,9.66672,1,Everton,MF
Harrison Reed,6.350935,7.06601,1,Fulham,MF
Harry Amass,6.5271916,9.2043,1,Manchester Utd,DF
Harry Clarke,6.3096323,8.8777275,1,Ipswich Town,DF
