player,cluster,team,position
Olabade Aluko,1,Leicester City,DF
Oleksandr Zinchenko,1,Arsenal,"DF,MF"
Oliver Scarles,1,West Ham,"DF,FW"
Oliver Skipp,1,Leicester City,MF
Ollie Watkins,2,Aston Villa,FW
Omar Marmoush,2,Manchester City,"FW,MF"
Omari Hutchinson,2,Ipswich Town,"MF,FW"
Orel Mangala,1,Everton,MF
Oscar Bobb,1,Manchester City,FW
Pablo Sarabia,2,Wolves,"MF,FW"
Pape Matar Sarr,0,Tottenham,MF
Patrick Dorgu,1,Manchester Utd,DF
Patson Daka,1,Leicester City,"FW,MF"
Pau Torres,0,Aston Villa,DF
Paul Onuachu,1,Southampton,FW
Pedro Lima,1,Wolves,DF
Pedro Neto,2,Chelsea,FW
Pedro Porro,0,Tottenham,DF
Pervis Estupiñán,0,Brighton,DF
Phil Foden,2,Manchester City,"MF,FW"
Philip Billing,1,Bournemouth,MF
Player,2,Squad,Pos
Radu Drăgușin,1,Tottenham,DF
Raheem Sterling,1,Arsenal,"FW,MF"
Ramón Sosa,1,Nott'ham Forest,"FW,MF"
Rasmus Højlund,2,Manchester Utd,FW
Rayan Aït-Nouri,0,Wolves,DF
Raúl Jiménez,2,Fulham,FW
Reece James,1,Chelsea,"DF,MF"
Reiss Nelson,1,Arsenal,FW
Remy Rees-Dottin,1,Bournemouth,FW
Renato Veiga,1,Chelsea,"DF,MF"
Ricardo Pereira,1,Leicester City,DF
Riccardo Calafiori,1,Arsenal,DF
Richarlison,1,Tottenham,FW
Rico Henry,1,Brentford,DF
Rico Lewis,0,Manchester City,"DF,MF"
Robert Sánchez,0,Chelsea,GK
Robin Olsen,1,Aston Villa,GK
Rodri,1,Manchester City,MF
Rodrigo Bentancur,0,Tottenham,MF
Rodrigo Gomes,1,Wolves,"DF,FW"
Rodrigo Muniz,2,Fulham,FW
Romain Esse,1,Crystal Palace,MF
Roman Dixon,1,Everton,DF
Roméo Lavia,1,Chelsea,MF
Ronnie Edwards,1,Southampton,DF
Ross Barkley,1,Aston Villa,MF
Ross Stewart,1,Southampton,FW
Ryan Christie,0,Bournemouth,MF
Ryan Fraser,1,Southampton,"FW,DF"
Ryan Gravenberch,0,Liverpool,MF
Ryan Manning,0,Southampton,"DF,MF"
Ryan Sessegnon,1,Fulham,"FW,DF"
Ryan Trevitt,1,Brentford,MF
Ryan Yates,0,Nott'ham Forest,MF
Rúben Dias,0,Manchester City,DF
Sam Johnstone,1,Wolves,GK
Sam Morsy,0,Ipswich Town,MF
Sammie Szmodics,1,Ipswich Town,"FW,MF"
Samuel Amo-Ameyaw,1,Southampton,"FW,DF"
Samuel Edozie,1,Southampton,"DF,FW"
Sander Berge,0,Fulham,MF
Sandro Tonali,0,Newcastle Utd,MF
Santiago Bueno,0,Wolves,DF
Saša Lukić,0,Fulham,MF
Scott McTominay,1,Manchester Utd,MF
Sean Longstaff,1,Newcastle Utd,MF
Sepp van den Berg,0,Brentford,DF
Sergio Reguilón,1,Tottenham,DF
Shumaira Mheuka,1,Chelsea,MF
Simon Adingra,2,Brighton,"FW,MF"
Solly March,1,Brighton,"FW,MF"
Son Heung-min,2,Tottenham,FW
Stefan Ortega,1,Manchester City,GK
Stephy Mavididi,2,Leicester City,FW
Sven Botman,1,Newcastle Utd,DF
Sávio,2,Manchester City,"FW,MF"
Séamus Coleman,1,Everton,DF
Taiwo Awoniyi,1,Nott'ham Forest,FW
Takehiro Tomiyasu,1,Arsenal,DF
Tariq Lamptey,1,Brighton,DF
Taylor Harwood-Bellis,0,Southampton,DF
Thiago,1,Brentford,"FW,MF"
Thomas Partey,0,Arsenal,"MF,DF"
Tim Iroegbunam,1,Everton,MF
Timo Werner,1,Tottenham,"FW,MF"
Timothy Castagne,0,Fulham,DF
Toby Collyer,1,Manchester Utd,MF
Tom Cairney,1,Fulham,MF
Tom King,1,Wolves,GK
Tommy Doyle,1,Wolves,MF
Tomáš Souček,0,West Ham,MF
Tosin Adarabioyo,0,Chelsea,DF
Toti Gomes,0,Wolves,DF
Trent Alexander-Arnold,0,Liverpool,DF
Trevoh Chalobah,1,Crystal Palace,DF
Tyler Adams,0,Bournemouth,MF
Tyler Dibling,2,Southampton,"FW,MF"
Tyler Fredricson,1,Manchester Utd,DF
Tyrell Malacia,1,Manchester Utd,DF
Tyrick Mitchell,0,Crystal Palace,DF
Tyrique George,1,Chelsea,FW
Tyrone Mings,1,Aston Villa,DF
Valentino Livramento,0,Newcastle Utd,DF
Victor Bernth Kristiansen,0,Leicester City,DF
Victor Lindelöf,1,Manchester Utd,DF
Virgil van Dijk,0,Liverpool,DF
Vitaliy Mykolenko,0,Everton,DF
Vitaly Janelt,0,Brentford,MF
Vitezslav Jaros,1,Liverpool,GK
Vitor Reis,1,Manchester City,DF
Vladimír Coufal,1,West Ham,DF
Wataru Endo,1,Liverpool,"MF,DF"
Welington,1,Southampton,DF
Wes Burns,1,Ipswich Town,"FW,DF"
Wesley Fofana,1,Chelsea,DF
Wilfred Ndidi,0,Leicester City,MF
Will Alves,1,Leicester City,FW
Will Hughes,0,Crystal Palace,MF
Will Lankshear,1,Tottenham,"FW,MF"
William Osula,1,Newcastle Utd,FW
William Saliba,0,Arsenal,DF
William Smallbone,1,Southampton,MF
Willian,1,Fulham,"FW,MF"
Willy Boly,1,Nott'ham Forest,DF
Wilson Odobert,1,Tottenham,"FW,MF"
Wout Faes,0,Leicester City,DF
Woyo Coulibaly,1,Leicester City,DF
Yankuba Minteh,2,Brighton,"FW,MF"
Yasin Ayari,0,Brighton,MF
Yehor Yarmoliuk,0,Brentford,MF
Yerson Mosquera,1,Wolves,DF
Yoane Wissa,2,Brentford,FW
Youri Tielemans,0,Aston Villa,MF
Youssef Chermiti,1,Everton,"FW,MF"
Yukinari Sugawara,0,Southampton,"DF,MF"
Yunus Emre Konak,1,Brentford,"FW,MF"
Yves Bissouma,0,Tottenham,MF
Zain Silcott-Duberry,1,Bournemouth,FW
Álex Moreno,1,Nott'ham Forest,"DF,MF"
İlkay Gündoğan,0,Manchester City,MF
Łukasz Fabiański,1,West Ham,GK
