player,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
Emmanuel Agbadou,-0.5609455512159067,-6.581730224795834,3.56040901682655,-5.458825157126915,-1.0505655727620604,0.19206310518103953,1.5376262789470723,0.42851143734622543,0.306796161466257,1.0465565150249532,-1.8705195515294142,0.3265500289153401,-1.0266240134507134,0.5048967225215771,0.11246361068800612,0.7831485780091512,-1.0589727525814436,-0.984600541523695,-0.867945426006507,0.4116055628523797,-0.6809362300654506,0.585844289236536,-0.06621722682774603,0.7112187743864393,0.3408589237396537,-0.5204311309569851,-0.384543562692681,0.4983268769454121,-0.4300425529505862,-0.7834798231104431,0.1515447334569552
Enes Ünal,-4.609093387533921,8.810387767291996,-7.9040205414110005,1.1129923030971947,-1.6588187919038972,2.694877588711448,4.105619428145677,1.9737976763969465,-2.7226785383064387,-0.19732155226009557,0.0008654008049048028,-7.909525539730683e-05,1.2371949809362013,-0.8008196124183028,0.5393371235677789,-2.5022091495464474,2.2195064308754113,-1.2359209602337058,1.7341273967931918,-0.5199493611295868,-1.2778821186492986,-0.3687492313706885,-0.42531227153501827,2.3344355291445646,0.45888521364459256,0.10662718003532468,-0.6784476845906213,-0.09435992231558292,-1.0113148636447575,0.5877511287490333,-0.5290438457113477
Enzo Fernández,20.20241421548244,1.3635770690845446,4.935209784275746,-0.5270650915387549,3.8730600318882593,-3.125302472521393,4.274755533642654,3.602396368574109,2.8395075892450996,-0.3370999611252088,-0.8410151111982654,1.0036088225521278,-0.5713147948089932,0.6486603348171406,0.7575860510751413,-1.9043144977468933,1.6289565118287297,1.0833801920999013,-3.2975791346054257,0.2335264612053647,0.03551266931670964,0.27219561498762973,2.027660352494325,0.2824700751770336,1.8188379669198171,-0.9849472588242936,-0.032582792934600265,0.6375244836185081,2.6010274178943913,0.6601073692481926,1.1199073001241253
Eric da Silva Moreira,-11.55478847536519,1.3703659720088883,1.8189474734336484,8.199702344781693,-0.09320246856878116,0.11497788789430513,-1.2270224219479262,1.7239040436215394,1.0758052032841192,0.5465950945177233,-0.914993114936205,-1.611900386826262,0.4032828058435652,-0.8120057644689972,-1.1987943358644073,-1.677053277892187,-1.1124223485246376,-1.5072043702015079,0.13630875355287644,-0.7691022877890996,0.3235416858777705,-0.2828910118177522,0.24040981512860768,-1.0667737190881479,0.30723126274378115,-0.2809084627319069,1.6171871972677143,-1.2602494467701442,-0.3385015551084711,-0.10566165360880536,0.23379459039611844
Erling Haaland,7.56594606449034,10.358263089929041,-1.7704880101735738,-3.547764161115435,-10.243645364339962,-0.6832950929330317,-0.04392353011110319,2.585689761556972,0.5528215797327797,-1.6229925476543552,0.7245492406579511,-0.9982747435875543,-0.9366404784385344,0.7933970515832987,-1.1918707878547827,-0.05758812526171951,-1.25903611206233,1.0442590667893328,-0.7999373421513782,-3.076801478399491,-3.629274004945785,1.258782555776754,0.8400863223051755,-2.0852115983460506,-0.15095715570027052,-0.6259366426599317,0.48843244583046497,0.38914080666448875,0.5756814739198859,1.615614003249561,0.4202873673408925
Ethan Nwaneri,0.3865130237809726,8.723469835013917,2.6344771604916732,5.231138822182739,-0.0785646020547381,-1.921889121235981,1.8109053797938508,-1.1029133989247415,-1.5885104510480563,3.1728871115769746,-0.09418044465890858,3.062972197697449,-0.6308829683798561,-1.3028655545460417,1.791224083657092,-0.0050158216760700335,-0.46054509127558635,-1.2181016954422488,0.521293608362542,0.39119338247584173,-0.26826278852749474,0.13579175829350776,0.2158517621118319,0.48394728278690996,-1.7905734780144622,1.2119466870428868,-0.980668132690864,-1.175339153193859,-0.7942075933069327,-0.8132813144047392,-0.489766951981851
Ethan Pinnock,2.5056281792030255,-7.800934901292428,-5.6678381736269845,-0.4458067505677706,-2.0268248483960294,2.150087904297569,1.1074469436772667,0.8592207746821563,-1.4169696185230434,1.7701138744341853,0.5853956544315195,-1.948390519813169,-1.0512723724595374,-1.3546292400618882,-0.37713868963954755,0.41334900372276817,-1.5705222005883137,0.15894319099288137,-0.2471338903151045,-1.1769733116314878,0.8965596556874975,-1.5130135350948155,-1.3715043444341828,-0.910895709064708,-0.4488831261537043,0.3027747794161941,0.6197950536951913,0.5363449228944086,0.7783476910162695,-1.4094188274393604,0.751288938529898
Evan Ferguson,-9.4911929118001,4.977901838824093,3.4088237361395453,1.9302710710411248,-0.40987489720977593,0.6245737704609542,1.629429274538865,0.024111831755716275,-2.3616542404914274,-2.919387791125315,-0.2868595469572357,0.10311826612935802,-0.1995880540716624,-0.2912463052499808,1.029216834759622,0.9333517649746179,0.8085878329482891,0.7527593546216904,0.23323425545915896,1.2161747070127362,-0.6351491844711813,0.9168224030667657,-0.2770201364805328,-0.04332110954575528,0.08396196222110307,-0.24524756424253588,0.00723283096831682,-0.4506288617592016,-0.3843033378407165,-0.04000709758844783,0.9958435724089881
Evanilson,6.544326645612133,9.796319483580715,-0.7227938124964592,-4.545425884313173,-9.517500343876605,1.3552337984829805,-0.7990112005703025,2.7129764134919183,2.6610452670177374,-3.044632719879935,-0.7456793645645887,-0.11429303135478877,2.6116413913683942,-1.0438473939147654,-2.3430770619137298,3.6271543568888562,-1.4120471029969497,0.20204418912040706,1.5070963862192013,-1.0648065079536597,0.6145863678859033,0.638157422525128,0.28424508437272716,-0.7394782266339548,-0.643971389226167,-0.31287071009708967,-0.702578172082196,0.6872554419332996,-1.7322751195057204,0.7091727436686852,-0.41904801153476245
Ezri Konsa,6.750465470442434,-9.64579063790293,0.22160311577986846,0.15150001237225222,-4.219989418735812,-0.5131882462362354,1.8068583401461753,-1.516016112875699,0.12659212968061812,1.249599723347236,-1.1824026076887553,-1.5183281653864982,-0.6457316840291358,-1.93628567303627,0.4796584317071704,-0.9457039606518508,-1.75307558406318,0.2192026513957436,0.6424058889489003,0.7062715098812972,0.29199931847411964,0.03331717351901818,-0.9841071657363072,-1.7494728461443074,1.0622357456508371,-0.45262557674100434,-1.0531385527137636,1.2945737125265402,0.3124183864721184,1.8177867088095783,-0.6821755969861603
