,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
43,Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Leon Bailey,jm JAM,"FW,MF",Aston Villa,26,1997,12.7,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0,Matches
45,Carlos Baleba,cm CMR,MF,Brighton,20,2004,29.6,66,2.23,55,0,2,5,1,3,4,0.14,2,0,0,0,1,1,Matches
46,Ross Barkley,eng ENG,MF,Aston Villa,30,1993,6.5,18,2.78,15,1,2,0,0,0,3,0.46,3,0,0,0,0,0,Matches
47,Harvey Barnes,eng ENG,FW,Newcastle Utd,26,1997,19.5,64,3.27,44,1,7,6,6,0,9,0.46,6,0,1,1,1,0,Matches
48,Calvin Bassey,ng NGA,DF,Fulham,24,1999,34.2,23,0.67,19,1,2,0,0,1,3,0.09,2,0,0,0,0,1,Matches
49,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Jan Bednarek,pl POL,DF,Southampton,28,1996,28.1,16,0.57,15,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,3.7,2,0.54,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
52,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,26,1998,18.6,57,3.06,35,5,4,4,7,2,11,0.59,8,1,0,0,1,1,Matches
53,Rodrigo Bentancur,uy URU,MF,Tottenham,27,1997,18.3,45,2.46,36,0,1,5,1,2,3,0.16,3,0,0,0,0,0,Matches
54,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Sander Berge,no NOR,MF,Fulham,26,1998,24.7,48,1.94,43,1,1,1,0,2,2,0.08,2,0,0,0,0,0,Matches
56,Lucas Bergvall,se SWE,MF,Tottenham,18,2006,13.5,22,1.63,16,4,0,2,0,0,4,0.3,3,0,0,1,0,0,Matches
57,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21,2002,27.6,42,1.52,33,6,1,0,2,0,3,0.11,3,0,0,0,0,0,Matches
58,Beto,gw GNB,FW,Everton,26,1998,17,26,1.52,16,0,3,3,4,0,1,0.06,1,0,0,0,0,0,Matches
59,Philip Billing,dk DEN,MF,Bournemouth,28,1996,2,16,7.83,13,0,0,1,0,2,0,0,0,0,0,0,0,0,Matches
60,Yves Bissouma,ml MLI,MF,Tottenham,27,1996,15.6,16,1.02,15,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
61,Oscar Bobb,no NOR,FW,Manchester City,21,2003,0.2,2,11.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20,2004,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
63,Willy Boly,ci CIV,DF,Nott'ham Forest,33,1991,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Sven Botman,nl NED,DF,Newcastle Utd,24,2000,4.6,4,0.87,1,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27,1996,33,113,3.42,70,13,6,13,9,2,15,0.45,11,2,1,1,0,0,Matches
66,Conor Bradley,nir NIR,DF,Liverpool,21,2003,8.4,19,2.27,13,0,5,0,1,0,4,0.48,3,0,1,0,0,0,Matches
67,Jarrad Branthwaite,eng ENG,DF,Everton,22,2002,27.9,13,0.47,11,1,0,0,1,0,2,0.07,1,1,0,0,0,0,Matches
68,James Bree,eng ENG,DF,Southampton,26,1997,11.9,16,1.34,13,2,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
69,Ben Brereton,cl CHI,FW,Southampton,25,1999,5,9,1.8,7,0,0,0,2,0,0,0,0,0,0,0,0,0,Matches
70,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26,1998,7.8,22,2.82,15,0,6,1,0,0,2,0.26,1,0,1,0,0,0,Matches
71,Armando Broja,al ALB,FW,Everton,22,2001,3.7,7,1.89,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,David Brooks,wls WAL,"FW,MF",Bournemouth,27,1997,10.7,46,4.31,36,6,2,2,0,0,2,0.19,1,0,0,1,0,0,Matches
73,Emi Buendía,ar ARG,"MF,FW",Aston Villa,27,1996,1.1,3,2.76,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
74,Santiago Bueno,uy URU,DF,Wolves,25,1998,18.7,12,0.64,10,1,0,0,0,1,4,0.21,3,0,0,0,0,1,Matches
75,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19,2004,16.9,51,3.01,27,11,9,1,3,0,5,0.3,1,2,2,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
76,Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,17.1,14,0.82,14,0,0,0,0,0,3,0.18,3,0,0,0,0,0,Matches
77,Dan Burn,eng ENG,DF,Newcastle Utd,32,1992,37,27,0.73,21,1,0,4,1,0,4,0.11,3,1,0,0,0,0,Matches
78,Wes Burns,wls WAL,"FW,DF",Ipswich Town,29,1994,10.3,16,1.55,12,0,1,1,2,0,1,0.1,1,0,0,0,0,0,Matches
79,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,22,2001,37.2,98,2.63,86,0,2,0,3,7,9,0.24,6,0,0,0,2,1,Matches
81,Tom Cairney,sct SCO,MF,Fulham,33,1991,7,33,4.71,28,2,0,2,1,0,3,0.43,3,0,0,0,0,0,Matches
82,Jens Cajuste,se SWE,MF,Ipswich Town,24,1999,21.8,36,1.65,28,2,4,0,1,1,2,0.09,1,0,1,0,0,0,Matches
83,Riccardo Calafiori,it ITA,DF,Arsenal,22,2002,10.9,13,1.19,11,0,1,1,0,0,2,0.18,2,0,0,0,0,0,Matches
84,Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,17.9,26,1.46,14,0,4,3,3,2,4,0.22,1,0,2,0,1,0,Matches
85,Diego Carlos,br BRA,DF,Aston Villa,31,1993,9.2,4,0.43,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
86,Fabio Carvalho,pt POR,"FW,MF",Brentford,21,2002,5.1,10,1.97,7,0,1,2,0,0,1,0.2,1,0,0,0,0,0,Matches
87,Casemiro,br BRA,MF,Manchester Utd,32,1992,16.6,53,3.19,49,1,0,3,0,0,4,0.24,4,0,0,0,0,0,Matches
88,Kaelan Casey,eng ENG,DF,West Ham,19,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Matty Cash,pl POL,DF,Aston Villa,26,1997,23,25,1.09,22,1,1,0,0,1,4,0.17,3,0,0,0,0,1,Matches
90,Eiran Cashin,ie IRL,DF,Brighton,22,2001,0.2,1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Timothy Castagne,be BEL,DF,Fulham,28,1995,18.3,25,1.36,21,0,1,2,1,0,3,0.16,2,0,0,1,0,0,Matches
92,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,11.8,11,0.93,10,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,10.1,13,1.29,10,0,0,2,0,1,3,0.3,1,0,0,1,0,1,Matches
94,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,9.5,22,2.32,19,3,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
95,Youssef Chermiti,pt POR,"FW,MF",Everton,20,2004,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Federico Chiesa,it ITA,FW,Liverpool,26,1997,1.2,6,5,6,0,0,0,0,0,1,0.83,1,0,0,0,0,0,Matches
97,Ben Chilwell,eng ENG,DF,Crystal Palace,27,1996,2.9,8,2.77,6,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
98,Chiquinho,pt POR,MF,Wolves,24,2000,0.1,2,25.71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,26,1997,1.5,3,2.05,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Ryan Christie,sct SCO,MF,Bournemouth,29,1995,23.5,85,3.62,72,7,0,3,2,1,9,0.38,8,1,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,4.2,1,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23,2000,13.1,50,3.81,42,2,3,0,0,3,5,0.38,4,1,0,0,0,0,Matches
103,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33,1991,5.4,3,0.56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Conor Coady,eng ENG,DF,Leicester City,31,1993,19,6,0.32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Séamus Coleman,ie IRL,DF,Everton,35,1988,2.4,2,0.84,1,0,1,0,0,0,1,0.42,1,0,0,0,0,0,Matches
106,Nathan Collins,ie IRL,DF,Brentford,23,2001,38,30,0.79,22,2,1,3,2,0,8,0.21,4,1,0,1,2,0,Matches
107,Toby Collyer,eng ENG,MF,Manchester Utd,20,2004,2,5,2.5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
108,Levi Colwill,eng ENG,DF,Chelsea,21,2003,35,38,1.09,34,2,0,1,0,1,3,0.09,2,0,0,0,0,1,Matches
109,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27,1997,33.1,89,2.69,69,18,0,2,0,0,5,0.15,2,1,0,2,0,0,Matches
110,Maxwel Cornet,ci CIV,FW,Southampton,27,1996,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Vladimír Coufal,cz CZE,DF,West Ham,31,1992,11.9,18,1.52,14,4,0,0,0,0,1,0.08,0,1,0,0,0,0,Matches
112,Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,9.2,15,1.64,7,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Marc Cucurella,es ESP,DF,Chelsea,26,1998,33.2,51,1.54,44,4,0,2,1,0,5,0.15,4,1,0,0,0,0,Matches
115,Jorge Cuenca,es ESP,DF,Fulham,24,1999,3.9,1,0.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Matheus Cunha,br BRA,"MF,FW",Wolves,25,1999,28.9,132,4.57,75,14,19,9,12,3,16,0.55,10,0,4,0,1,1,Matches
117,Patson Daka,zm ZAM,"FW,MF",Leicester City,25,1998,8.2,10,1.23,7,0,2,1,0,0,1,0.12,0,0,1,0,0,0,Matches
118,Diogo Dalot,pt POR,DF,Manchester Utd,25,1999,31.3,74,2.37,57,5,7,4,0,1,5,0.16,3,0,1,1,0,0,Matches
119,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24,2000,32.3,120,3.71,92,14,6,2,1,5,21,0.65,15,3,1,0,1,1,Matches
120,Danilo,br BRA,"MF,FW",Nott'ham Forest,23,2001,3.1,7,2.31,7,0,0,0,0,0,2,0.66,2,0,0,0,0,0,Matches
121,Jayden Danns,eng ENG,MF,Liverpool,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Kevin Danso,at AUT,DF,Tottenham,25,1998,9.4,9,0.96,8,0,0,1,0,0,2,0.21,2,0,0,0,0,0,Matches
123,Ben Davies,wls WAL,DF,Tottenham,31,1993,14.8,8,0.54,7,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
124,Leif Davis,eng ENG,DF,Ipswich Town,24,2000,30.5,93,3.05,46,39,3,3,1,1,4,0.13,3,0,1,0,0,0,Matches
125,Craig Dawson,eng ENG,DF,Wolves,34,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
126,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33,1991,18.9,113,5.97,73,26,3,6,3,2,11,0.58,9,1,0,1,0,0,Matches
127,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,31,1993,8.3,13,1.57,8,0,0,3,2,0,3,0.36,1,0,0,1,1,0,Matches
128,Liam Delap,eng ENG,FW,Ipswich Town,21,2003,28.8,62,2.15,28,0,12,7,13,2,7,0.24,3,0,2,0,2,0,Matches
129,Sepp van den Berg,nl NED,DF,Brentford,22,2001,28.7,22,0.77,19,0,0,2,1,0,2,0.07,1,0,0,0,1,0,Matches
130,Justin Devenny,nir NIR,MF,Crystal Palace,20,2003,5.6,15,2.66,12,2,0,1,0,0,1,0.18,1,0,0,0,0,0,Matches
131,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,25,1998,2.9,5,1.7,5,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
132,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22,2002,21.1,97,4.59,65,9,10,3,6,4,18,0.85,7,0,4,1,2,4,Matches
133,Rúben Dias,pt POR,DF,Manchester City,27,1997,25.2,26,1.03,17,0,0,7,0,2,1,0.04,1,0,0,0,0,0,Matches
134,Luis Díaz,co COL,FW,Liverpool,27,1997,26.7,117,4.39,88,0,16,9,4,0,16,0.6,13,0,1,0,2,0,Matches
135,Tyler Dibling,eng ENG,"FW,MF",Southampton,18,2006,20.8,56,2.69,34,1,11,5,5,0,4,0.19,2,0,1,1,0,0,Matches
136,Lucas Digne,fr FRA,DF,Aston Villa,31,1993,26.1,66,2.53,42,18,1,4,0,1,5,0.19,5,0,0,0,0,0,Matches
137,Issa Diop,fr FRA,DF,Fulham,27,1997,14.9,6,0.4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
138,Axel Disasi,fr FRA,DF,Aston Villa,26,1998,5.4,9,1.65,7,0,1,0,0,1,0,0,0,0,0,0,0,0,Matches
139,Axel Disasi,fr FRA,DF,Chelsea,26,1998,4,2,0.49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Roman Dixon,eng ENG,DF,Everton,19,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Nasser Djiga,bf BFA,DF,Wolves,21,2002,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
142,Matt Doherty,ie IRL,DF,Wolves,32,1992,23.4,25,1.07,19,3,1,1,1,0,3,0.13,3,0,0,0,0,0,Matches
143,Jeremy Doku,be BEL,"FW,MF",Manchester City,22,2002,16.8,79,4.69,60,1,13,1,3,1,14,0.83,11,0,3,0,0,0,Matches
144,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26,1998,21.8,38,1.74,29,1,0,3,3,2,0,0,0,0,0,0,0,0,Matches
145,Patrick Dorgu,dk DEN,DF,Manchester Utd,19,2004,9.4,24,2.57,21,0,0,0,2,1,1,0.11,0,0,0,0,1,0,Matches
146,Alfie Dorrington,eng ENG,DF,Tottenham,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,28.5,58,2.04,52,0,3,2,0,1,3,0.11,2,0,0,0,0,1,Matches
148,Cheick Doucouré,ml MLI,MF,Crystal Palace,24,2000,5,9,1.79,5,0,0,2,1,1,3,0.6,1,0,0,1,1,0,Matches
149,Flynn Downes,eng ENG,MF,Southampton,25,1999,23.9,31,1.3,27,2,0,1,0,1,2,0.08,1,1,0,0,0,0,Matches
150,Tommy Doyle,eng ENG,MF,Wolves,22,2001,5.4,17,3.13,11,4,1,1,0,0,3,0.55,2,0,1,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
151,Radu Drăgușin,ro ROU,DF,Tottenham,22,2002,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
152,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,1989,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Lewis Dunk,eng ENG,DF,Brighton,32,1991,23.1,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0,Matches
154,Jáder Durán,co COL,FW,Aston Villa,20,2003,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,Matches
155,Claudio Echeverri,ar ARG,FW,Manchester City,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Ederson,br BRA,GK,Manchester City,30,1993,25.8,6,0.23,6,0,0,0,0,0,4,0.16,4,0,0,0,0,0,Matches
157,George Edmundson,eng ENG,DF,Ipswich Town,26,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
158,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26,1998,1.3,1,0.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Odsonne Édouard,fr FRA,FW,Leicester City,26,1998,0.3,2,6.21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Samuel Edozie,eng ENG,"DF,FW",Southampton,21,2003,0.7,4,5.54,3,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
161,Ronnie Edwards,eng ENG,DF,Southampton,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22,2002,27.8,102,3.67,56,23,5,7,11,0,18,0.65,10,4,1,0,3,0,Matches
163,Harvey Elliott,eng ENG,MF,Liverpool,21,2003,4.1,21,5.11,17,3,1,0,0,0,3,0.73,3,0,0,0,0,0,Matches
164,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,18,2006,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
165,Julio Enciso,py PAR,"MF,FW",Ipswich Town,20,2004,9.7,29,3,16,4,6,2,0,1,4,0.41,2,1,1,0,0,0,Matches
166,Julio Enciso,py PAR,"MF,FW",Brighton,20,2004,3.3,12,3.69,5,1,3,1,2,0,0,0,0,0,0,0,0,0,Matches
167,Wataru Endo,jp JPN,"MF,DF",Liverpool,31,1993,3,6,1.96,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Christian Eriksen,dk DEN,MF,Manchester Utd,32,1992,11.8,56,4.74,38,15,0,3,0,0,7,0.59,5,2,0,0,0,0,Matches
169,Romain Esse,eng ENG,MF,Crystal Palace,19,2005,1.5,8,5.18,6,0,1,0,1,0,3,1.94,1,0,1,0,1,0,Matches
170,Pervis Estupiñán,ec ECU,DF,Brighton,26,1998,26.7,58,2.17,39,13,0,2,4,0,4,0.15,3,0,0,0,1,0,Matches
171,Evanilson,br BRA,FW,Bournemouth,24,1999,25.8,61,2.37,39,0,3,10,9,0,8,0.31,2,0,1,1,4,0,Matches
172,Jake Evans,,FW,Leicester City,,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Jonny Evans,nir NIR,DF,Manchester Utd,36,1988,3.5,2,0.57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26,1998,28.8,135,4.69,72,29,11,13,9,1,10,0.35,9,1,0,0,0,0,Matches
175,Łukasz Fabiański,pl POL,GK,West Ham,39,1985,12.9,3,0.23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
