,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
32,Alphonse Areola,fr FRA,GK,West Ham,31,1993,26,25,"2,260",25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Joe Aribo,ng NGA,"MF,DF",Southampton,28,1996,32,21,"2,013",22.4,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,36,75,65,0.13,0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19,Matches
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
35,Harrison Armstrong,eng ENG,MF,Everton,17,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0,0,0,0,0,0.69,0.14,0.82,0.69,0.82,Matches
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,31,"2,790",31,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Marco Asensio,es ESP,MF,Aston Villa,28,1996,13,9,743,8.3,3,1,4,3,0,2,2,0,4.4,2.9,1,3.8,22,45,38,0.36,0.12,0.48,0.36,0.48,0.54,0.12,0.66,0.35,0.47,Matches
38,Brandon Austin,eng ENG,GK,Tottenham,25,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26,1997,26,3,416,4.6,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,20,0.22,0,0.22,0.22,0.22,0.46,0.02,0.48,0.46,0.48,Matches
40,Yasin Ayari,se SWE,MF,Brighton,20,2003,34,22,"1,965",21.8,2,1,3,2,0,0,3,0,2.4,2.4,2.3,4.8,30,75,61,0.09,0.05,0.14,0.09,0.14,0.11,0.11,0.22,0.11,0.22,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,0,0,1,0,0,0,0,0,1.96,0.21,2.17,1.96,2.17,Matches
42,Jordan Ayew,gh GHA,"FW,MF",Leicester City,32,1991,30,19,"1,638",18.2,5,0,5,4,1,1,5,0,3.2,2.4,1.1,3.5,49,46,86,0.27,0,0.27,0.22,0.22,0.17,0.06,0.24,0.13,0.19,Matches
43,Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3,17,2,0,0,0,0,0,0,0,0,0,0,Matches
44,Leon Bailey,jm JAM,"FW,MF",Aston Villa,26,1997,24,14,"1,139",12.7,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,58,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Matches
45,Carlos Baleba,cm CMR,MF,Brighton,20,2004,34,31,"2,661",29.6,3,1,4,3,0,0,8,1,3.1,3.1,1.3,4.4,43,118,29,0.1,0.03,0.14,0.1,0.14,0.1,0.05,0.15,0.1,0.15,Matches
46,Ross Barkley,eng ENG,MF,Aston Villa,30,1993,20,3,581,6.5,3,1,4,3,0,0,3,0,1.8,1.8,0.6,2.4,15,36,10,0.46,0.15,0.62,0.46,0.62,0.27,0.1,0.37,0.27,0.37,Matches
47,Harvey Barnes,eng ENG,FW,Newcastle Utd,26,1997,33,17,"1,755",19.5,9,4,13,9,0,0,0,0,7.2,7.2,4,11.2,93,83,192,0.46,0.21,0.67,0.46,0.67,0.37,0.2,0.57,0.37,0.57,Matches
48,Calvin Bassey,ng NGA,DF,Fulham,24,1999,35,34,"3,074",34.2,1,0,1,1,0,0,7,0,1,1,0.1,1.2,39,116,15,0.03,0,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,Matches
49,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Jan Bednarek,pl POL,DF,Southampton,28,1996,30,30,"2,531",28.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,60,2,0.07,0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,5,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
52,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,26,1998,35,20,"1,677",18.6,2,7,9,2,0,0,3,0,1.5,1.5,3.8,5.3,52,43,89,0.11,0.38,0.48,0.11,0.48,0.08,0.2,0.29,0.08,0.29,Matches
53,Rodrigo Bentancur,uy URU,MF,Tottenham,27,1997,26,21,"1,645",18.3,2,0,2,2,0,0,9,0,1.3,1.3,0.4,1.7,28,100,34,0.11,0,0.11,0.11,0.11,0.07,0.02,0.1,0.07,0.1,Matches
54,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Sander Berge,no NOR,MF,Fulham,26,1998,31,26,"2,224",24.7,0,0,0,0,0,0,6,0,0.4,0.4,0.6,1,29,124,9,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
56,Lucas Bergvall,se SWE,MF,Tottenham,18,2006,27,11,"1,212",13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0,0.07,0.07,0,0.07,0.05,0.04,0.09,0.05,0.09,Matches
57,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21,2002,30,29,"2,482",27.6,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,40,70,78,0,0.04,0.04,0,0.04,0.01,0.05,0.06,0.01,0.06,Matches
58,Beto,gw GNB,FW,Everton,26,1998,30,15,"1,534",17,8,0,8,8,0,0,2,0,8.2,8.2,1.2,9.4,15,16,77,0.47,0,0.47,0.47,0.47,0.48,0.07,0.55,0.48,0.55,Matches
59,Philip Billing,dk DEN,MF,Bournemouth,28,1996,10,1,184,2,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0,0,0,0,0,0.28,0.54,0.82,0.28,0.82,Matches
60,Yves Bissouma,ml MLI,MF,Tottenham,27,1996,28,16,"1,408",15.6,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,75,3,0.13,0,0.13,0.13,0.13,0.04,0.02,0.06,0.04,0.06,Matches
61,Oscar Bobb,no NOR,FW,Manchester City,21,2003,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,1,0,0,0,0,0,0,0.41,0.41,0,0.41,Matches
62,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0,0,0.1,0.2,12,14,9,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
63,Willy Boly,ci CIV,DF,Nott'ham Forest,33,1991,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
64,Sven Botman,nl NED,DF,Newcastle Utd,24,2000,8,6,412,4.6,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.1,0,7,0,0,0,0,0,0,0.12,0.12,0.24,0.12,0.24,Matches
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27,1996,34,34,"2,973",33,13,8,21,12,1,1,1,0,8.6,7.8,6.8,14.7,109,91,212,0.39,0.24,0.64,0.36,0.61,0.26,0.21,0.47,0.24,0.44,Matches
66,Conor Bradley,nir NIR,DF,Liverpool,21,2003,19,7,754,8.4,0,2,2,0,0,0,4,0,0.7,0.7,1.4,2.1,35,33,39,0,0.24,0.24,0,0.24,0.08,0.17,0.25,0.08,0.25,Matches
67,Jarrad Branthwaite,eng ENG,DF,Everton,22,2002,30,28,"2,511",27.9,0,1,1,0,0,0,4,0,1.2,1.2,0.7,1.9,10,66,2,0,0.04,0.04,0,0.04,0.04,0.02,0.07,0.04,0.07,Matches
68,James Bree,eng ENG,DF,Southampton,26,1997,17,13,"1,075",11.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1,13,34,43,0,0.08,0.08,0,0.08,0.01,0.08,0.08,0.01,0.08,Matches
69,Ben Brereton,cl CHI,FW,Southampton,25,1999,10,4,449,5,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1,12,9,42,0,0,0,0,0,0.18,0.02,0.2,0.18,0.2,Matches
70,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26,1998,18,7,702,7.8,2,0,2,2,0,0,1,0,1.7,1.7,0.7,2.4,20,14,33,0.26,0,0.26,0.26,0.26,0.22,0.09,0.31,0.22,0.31,Matches
71,Armando Broja,al ALB,FW,Everton,22,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
72,David Brooks,wls WAL,"FW,MF",Bournemouth,27,1997,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,1.9,4.4,35,35,83,0.19,0,0.19,0.19,0.19,0.24,0.18,0.41,0.24,0.41,Matches
73,Emi Buendía,ar ARG,"MF,FW",Aston Villa,27,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0,0.7,3,7,6,0,0,0,0,0,0.6,0.02,0.62,0.6,0.62,Matches
74,Santiago Bueno,uy URU,DF,Wolves,25,1998,29,18,"1,687",18.7,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,1,28,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
75,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19,2004,31,14,"1,523",16.9,5,2,7,5,0,0,8,0,3.9,3.9,3.1,7,39,54,74,0.3,0.12,0.41,0.3,0.41,0.23,0.18,0.41,0.23,0.41,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,18,16,"1,541",17.1,0,2,2,0,0,0,0,0,1.1,1.1,0.5,1.6,2,42,4,0,0.12,0.12,0,0.12,0.06,0.03,0.09,0.06,0.09,Matches
77,Dan Burn,eng ENG,DF,Newcastle Utd,32,1992,37,37,"3,330",37,1,1,2,1,0,0,11,0,2,2,0.9,2.8,12,75,14,0.03,0.03,0.05,0.03,0.05,0.05,0.02,0.08,0.05,0.08,Matches
78,Wes Burns,wls WAL,"FW,DF",Ipswich Town,29,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0,0.1,0.1,0,0.1,0.05,0.16,0.21,0.05,0.21,Matches
79,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.94,0,0.94,0.94,0.94,Matches
80,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,22,2001,38,38,"3,351",37.2,1,2,3,1,0,0,11,0,0.8,0.8,3,3.8,43,215,37,0.03,0.05,0.08,0.03,0.08,0.02,0.08,0.1,0.02,0.1,Matches
81,Tom Cairney,sct SCO,MF,Fulham,33,1991,25,3,628,7,2,0,2,2,0,0,3,1,0.8,0.8,1.1,1.8,18,53,33,0.29,0,0.29,0.29,0.29,0.11,0.15,0.26,0.11,0.26,Matches
82,Jens Cajuste,se SWE,MF,Ipswich Town,24,1999,30,25,"1,959",21.8,1,1,2,1,0,0,2,0,0.7,0.7,0.8,1.5,26,59,20,0.05,0.05,0.09,0.05,0.09,0.03,0.04,0.07,0.03,0.07,Matches
83,Riccardo Calafiori,it ITA,DF,Arsenal,22,2002,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,22,54,29,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,Matches
84,Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,26,19,"1,609",17.9,3,1,4,3,0,0,2,0,6.7,6.7,0.6,7.4,23,20,112,0.17,0.06,0.22,0.17,0.22,0.38,0.04,0.41,0.38,0.41,Matches
85,Diego Carlos,br BRA,DF,Aston Villa,31,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,3,34,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
86,Fabio Carvalho,pt POR,"FW,MF",Brentford,21,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.4,0.2,0.59,0.4,0.59,0.49,0.13,0.62,0.49,0.62,Matches
87,Casemiro,br BRA,MF,Manchester Utd,32,1992,24,18,"1,494",16.6,1,0,1,1,0,0,5,0,1.9,1.9,2.3,4.2,4,84,28,0.06,0,0.06,0.06,0.06,0.11,0.14,0.25,0.11,0.25,Matches
88,Kaelan Casey,eng ENG,DF,West Ham,19,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Matty Cash,pl POL,DF,Aston Villa,26,1997,27,24,"2,070",23,1,1,2,1,0,0,7,0,0.5,0.5,1.1,1.6,48,42,90,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07,Matches
90,Eiran Cashin,ie IRL,DF,Brighton,22,2001,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,Matches
91,Timothy Castagne,be BEL,DF,Fulham,28,1995,24,17,"1,649",18.3,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,62,67,0,0.05,0.05,0,0.05,0.02,0.07,0.09,0.02,0.09,Matches
92,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,12,12,"1,060",11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14,Matches
