,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
74,Santiago Bueno,uy URU,DF,Wolves,25,1998,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53,Matches
75,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19,2004,16.9,8,0,0,37,35,3,43,12,32,0,0,0,79,18,36,33.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
76,Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,17.1,0,0,0,6,4,1,0,14,12,0,0,0,44,44,22,66.7,Matches
77,Dan Burn,eng ENG,DF,Newcastle Utd,32,1992,37,11,0,0,34,12,5,3,27,24,0,0,2,103,146,75,66.1,Matches
78,Wes Burns,wls WAL,"FW,DF",Ipswich Town,29,1994,10.3,1,0,0,4,11,0,46,10,11,0,0,0,50,8,21,27.6,Matches
79,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
80,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,22,2001,37.2,11,0,0,70,58,0,10,49,73,2,1,0,229,35,16,68.6,Matches
81,Tom Cairney,sct SCO,MF,Fulham,33,1991,7,3,1,0,8,19,0,20,4,5,0,0,0,52,5,9,35.7,Matches
82,Jens Cajuste,se SWE,MF,Ipswich Town,24,1999,21.8,2,0,0,24,22,0,10,28,22,0,0,0,107,13,22,37.1,Matches
83,Riccardo Calafiori,it ITA,DF,Arsenal,22,2002,10.9,4,0,0,16,6,3,11,9,19,0,0,0,35,22,14,61.1,Matches
84,Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,17.9,2,0,0,27,23,27,6,7,7,0,0,0,35,85,81,51.2,Matches
85,Diego Carlos,br BRA,DF,Aston Villa,31,1993,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches
86,Fabio Carvalho,pt POR,"FW,MF",Brentford,21,2002,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25,Matches
87,Casemiro,br BRA,MF,Manchester Utd,32,1992,16.6,5,0,0,20,19,4,20,14,50,0,0,0,103,36,19,65.5,Matches
88,Kaelan Casey,eng ENG,DF,West Ham,19,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Matches
89,Matty Cash,pl POL,DF,Aston Villa,26,1997,23,7,0,0,27,20,1,40,23,32,0,2,0,81,20,20,50,Matches
90,Eiran Cashin,ie IRL,DF,Brighton,22,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7,Matches
91,Timothy Castagne,be BEL,DF,Fulham,28,1995,18.3,1,0,0,15,6,1,37,22,29,0,1,0,57,34,35,49.3,Matches
92,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7,Matches
93,Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,10.1,2,0,0,9,7,0,3,10,7,0,0,0,29,23,12,65.7,Matches
94,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,9.5,2,0,0,11,7,0,9,4,5,0,0,0,27,3,9,25,Matches
95,Youssef Chermiti,pt POR,"FW,MF",Everton,20,2004,0.5,1,0,0,1,1,2,1,0,0,0,0,0,0,2,1,66.7,Matches
96,Federico Chiesa,it ITA,FW,Liverpool,26,1997,1.2,0,0,0,3,2,0,2,0,0,0,0,0,6,0,4,0,Matches
